participant,no_signed_duration,size,direction,correct,contrast,cond,response,log10_duration,duration,trial,session
perc002,0.12139,Small,-1,1,High,control,0,-0.9158170885795264,-0.60695,96,1
perc002,0.2,Small,1,1,High,control,1,-0.6989700043360187,1,97,1
perc002,0.2,Small,-1,1,High,control,0,-0.6989700043360187,-1,98,1
perc002,0.04472,Large,1,1,Low,control,1,-1.349498205121633,0.2236,99,1
perc002,0.12139,Small,-1,1,Low,control,0,-0.9158170885795264,-0.60695,100,1
perc002,0.07368,Large,1,1,Low,control,1,-1.1326503828112076,0.36839999999999995,101,1
perc002,0.027144,Small,1,1,High,control,1,-1.5663261533629387,0.13572,102,1
perc002,0.01648,Large,-1,1,Low,control,0,-1.783042792638903,-0.0824,103,1
perc002,0.027144,Small,-1,0,Low,control,1,-1.5663261533629387,-0.13572,104,1
perc002,0.04472,Large,-1,1,Low,control,0,-1.349498205121633,-0.2236,105,1
perc002,0.027144,Small,-1,1,High,control,0,-1.5663261533629387,-0.13572,106,1
perc002,0.2,Large,1,1,Low,control,1,-0.6989700043360187,1,107,1
perc002,0.01648,Small,1,0,High,control,0,-1.783042792638903,0.0824,108,1
perc002,0.2,Large,1,1,High,control,1,-0.6989700043360187,1,109,1
perc002,0.027144,Large,1,1,Low,control,1,-1.5663261533629387,0.13572,110,1
perc002,0.027144,Small,-1,1,High,control,0,-1.5663261533629387,-0.13572,111,1
perc002,0.12139,Small,1,1,High,control,1,-0.9158170885795264,0.60695,112,1
perc002,0.2,Small,-1,1,High,control,0,-0.6989700043360187,-1,113,1
perc002,0.01648,Large,1,0,High,control,0,-1.783042792638903,0.0824,114,1
perc002,0.01648,Large,-1,1,High,control,0,-1.783042792638903,-0.0824,115,1
perc002,0.07368,Large,-1,1,Low,control,0,-1.1326503828112076,-0.36839999999999995,116,1
perc002,0.01648,Large,-1,0,Low,control,1,-1.783042792638903,-0.0824,117,1
perc002,0.01648,Large,1,0,High,control,0,-1.783042792638903,0.0824,118,1
perc002,0.04472,Large,-1,1,High,control,0,-1.349498205121633,-0.2236,119,1
perc002,0.04472,Large,1,1,High,control,1,-1.349498205121633,0.2236,120,1
perc002,0.01648,Small,1,0,High,control,0,-1.783042792638903,0.0824,121,1
perc002,0.04472,Large,-1,1,Low,control,0,-1.349498205121633,-0.2236,122,1
perc002,0.07368,Small,1,1,Low,control,1,-1.1326503828112076,0.36839999999999995,123,1
perc002,0.04472,Large,1,1,Low,control,1,-1.349498205121633,0.2236,124,1
perc002,0.01648,Small,-1,1,High,control,0,-1.783042792638903,-0.0824,125,1
perc002,0.12139,Small,1,1,High,control,1,-0.9158170885795264,0.60695,126,1
perc002,0.07368,Small,-1,1,High,control,0,-1.1326503828112076,-0.36839999999999995,127,1
perc002,0.027144,Large,1,1,High,control,1,-1.5663261533629387,0.13572,128,1
perc002,0.2,Small,-1,1,Low,control,0,-0.6989700043360187,-1,129,1
perc002,0.04472,Small,-1,0,Low,control,1,-1.349498205121633,-0.2236,130,1
perc002,0.12139,Small,-1,1,High,control,0,-0.9158170885795264,-0.60695,131,1
perc002,0.12139,Large,1,1,Low,control,1,-0.9158170885795264,0.60695,132,1
perc002,0.12139,Small,1,1,Low,control,1,-0.9158170885795264,0.60695,133,1
